module,object_type,node_id,object_name,method_count
"groggy","BaseTable",1,"BaseTable",33
"groggy","NodesTable",2,"NodesTable",29
"groggy","EdgesTable",3,"EdgesTable",34
"groggy","GraphTable",4,"GraphTable",20
"builtins","BaseArray",5,"BaseArray",15
"builtins","Graph",6,"Graph",58
"builtins","NodesAccessor",7,"Nodes",7
"builtins","EdgesAccessor",8,"Edges",6
"builtins","ComponentsArray",9,"ComponentsArray",7
"builtins","Subgraph",10,"Subgraph",55
"builtins","NumArray",11,"GraphArray",13
"builtins","GraphMatrix",12,"Matrix",38
