category,class_name,description,docstring,methods_count,module,node_id,type_name
"core","NumArray","","Unified statistical array supporting all numeric types internally",14,"builtins",26,"NumArray"
"inferred",,"",,0,,27,"BaseArray"
"core","BaseTable","","Python wrapper for BaseTable",34,"groggy",23,"BaseTable"
"core","GraphMatrix","","Python wrapper for GraphMatrix - general-purpose matrix for collections of GraphArrays",84,"builtins",15,"GraphMatrix"
"inferred",,"",,0,,8,"list"
"core","NodesTable","","Python wrapper for NodesTable",30,"groggy",11,"NodesTable"
"inferred",,"",,0,,0,"dict"
"inferred",,"",,0,,18,"Commit"
"core","int","",compressed_text,4,"builtins",19,"StateId"
"core","str","",compressed_text,37,"builtins",10,"AttrName"
"core","int","",compressed_text,4,"builtins",12,"EdgeId"
"inferred",,"",,0,,21,"Unknown"
"core","EdgesAccessor","","Wrapper for g.edges that supports indexing syntax: g.edges[id] -> EdgeView  ",7,"builtins",9,"EdgesAccessor"
"core","str","",compressed_text,37,"builtins",22,"BranchName"
"inferred",,"",,0,,24,"GraphAnalysis"
"inferred",,"",,0,,31,"bool"
"inferred",,"",,0,,32,"int"
"core","Graph","","Python wrapper for the main Graph",58,"builtins",5,"Graph"
"core","TableArray","","Specialized array for table objects (PyObject wrapper for tables)",6,"builtins",4,"TableArray"
"inferred",,"",,0,,1,"float"
"core","NodesAccessor","","Wrapper for g.nodes that supports indexing syntax: g.nodes[id] -> NodeView",8,"builtins",20,"NodesAccessor"
"core","SubgraphArray","","Specialized array for PySubgraph objects",7,"builtins",30,"SubgraphArray"
"core","Subgraph","",compressed_text,57,"builtins",6,"Subgraph"
"inferred",,"",,0,,16,"GraphAttrMut"
"inferred",,"",,0,,17,"GraphAttr"
"core","EdgesTable","","Python wrapper for EdgesTable",35,"groggy",13,"EdgesTable"
"inferred",,"",,0,,7,"str"
"core","ComponentsArray","","Lazy array of connected components - avoids creating hundreds of PySubgraphs immediately",7,"builtins",14,"ComponentsArray"
"core","int","",compressed_text,4,"builtins",3,"NodeId"
"core","NodesArray","",compressed_text,13,"builtins",28,"NodesArray"
"core","DisplayConfig","","Python wrapper for DisplayConfig",1,"groggy.display",29,"DisplayConfig"
"core","GraphTable","","Python wrapper for GraphTable",20,"groggy",33,"GraphTable"
"inferred",,"",,0,,2,"Matrix"
"core","VizConfig","",compressed_text,2,"groggy",25,"VizConfig"
