original_type,node_id,object_type,name,is_generic,discovered,type,method_count
GraphMatrix,25,,ReturnType_GraphMatrix,True,,return_type,
float,26,,ReturnType_float,True,,return_type,
dict_items,38,,ReturnType_dict_items,True,,return_type,
int,19,,ReturnType_int,True,,return_type,
TableArray,30,,ReturnType_TableArray,True,,return_type,
,3,EdgesTable,EdgesTable,,True,api_object,32
,10,Subgraph,Subgraph,,True,api_object,52
EdgesAccessor,32,,ReturnType_EdgesAccessor,True,,return_type,
,5,BaseArray,BaseArray,,True,api_object,7
csr_matrix,37,,ReturnType_csr_matrix,True,,return_type,
dict_values,40,,ReturnType_dict_values,True,,return_type,
,9,ComponentsArray,ComponentsArray,,True,api_object,7
ndarray,35,,ReturnType_ndarray,True,,return_type,
tuple,20,,ReturnType_tuple,True,,return_type,
BaseTableIterator,14,,ReturnType_BaseTableIterator,True,,return_type,
NeighborhoodResult,27,,ReturnType_NeighborhoodResult,True,,return_type,
dict,23,,ReturnType_dict,True,,return_type,
NeighborhoodStats,28,,ReturnType_NeighborhoodStats,True,,return_type,
,6,Graph,Graph,,True,api_object,62
NoneType,16,,ReturnType_NoneType,True,,return_type,
DataFrame,17,,ReturnType_DataFrame,True,,return_type,
,11,GraphArray,GraphArray,,True,api_object,25
str,15,,ReturnType_str,True,,return_type,
dict_keys,39,,ReturnType_dict_keys,True,,return_type,
EdgesTableIterator,22,,ReturnType_EdgesTableIterator,True,,return_type,
,0,BaseTable,BaseTable,,True,api_object,30
,7,NodesAccessor,Nodes,,True,api_object,5
bool,13,,ReturnType_bool,True,,return_type,
SubgraphArray,29,,ReturnType_SubgraphArray,True,,return_type,
NodesAccessor,33,,ReturnType_NodesAccessor,True,,return_type,
BaseArrayIterator,24,,ReturnType_BaseArrayIterator,True,,return_type,
,4,GraphTable,GraphTable,,True,api_object,20
,8,EdgesAccessor,Edges,,True,api_object,4
MetaNode,31,,ReturnType_MetaNode,True,,return_type,
Series,36,,ReturnType_Series,True,,return_type,
list,21,,ReturnType_list,True,,return_type,
,2,NodesTable,NodesTable,,True,api_object,27
NodesTableIterator,18,,ReturnType_NodesTableIterator,True,,return_type,
StatsSummary,34,,ReturnType_StatsSummary,True,,return_type,
,12,dict,Matrix,,True,api_object,11
unknown,1,,ReturnType_unknown,True,,return_type,
