performance,years_exp,department,user_id,salary
4,19,Engineering,1,116761
4,5,Engineering,2,70773
4.2,17,Marketing,3,102638
2.9,8,Sales,4,103595
4.1,12,Sales,5,128185
4.7,14,Sales,6,139684
4,5,Engineering,7,53213
3.1,0,Finance,8,41246
3.2,1,Engineering,9,48002
3,14,Finance,10,74875
2.1,6,HR,11,138539
4.5,8,Engineering,12,40947
4.4,5,Engineering,13,127205
3.2,19,Engineering,14,116342
4.4,6,Sales,15,143442
3.4,18,Sales,16,45486
4.9,1,Finance,17,52693
4.4,14,Finance,18,67665
4.6,14,Engineering,19,108463
3.3,7,Finance,20,143781
4.4,15,Sales,21,40951
4.2,4,Finance,22,89239
4.1,18,HR,23,119034
4,10,Sales,24,108167
4.9,8,HR,25,139793
4.3,20,Finance,26,74843
4.6,11,Marketing,27,103691
2.6,20,Engineering,28,102027
4.6,0,Sales,29,139209
2.5,7,HR,30,84175
2.8,17,Marketing,31,119216
2.3,0,Marketing,32,96289
4.6,2,Sales,33,84112
3,13,Sales,34,88599
2.1,4,Marketing,35,129372
2.4,10,Engineering,36,84967
3.5,17,Engineering,37,81317
3.5,11,HR,38,147065
2.8,3,Engineering,39,71404
2.6,11,Marketing,40,87344
2.5,1,Marketing,41,127173
2.1,4,Finance,42,92228
2,20,Marketing,43,89602
3.1,0,Engineering,44,120059
3,9,HR,45,47502
3.8,10,Finance,46,86665
3,0,Engineering,47,83287
2.3,5,HR,48,145679
4.3,17,Engineering,49,53130
4.9,3,Finance,50,40404
2.6,9,Marketing,51,99889
2.4,6,Finance,52,131528
4,10,Marketing,53,92665
4.6,7,Finance,54,135056
4.2,2,Sales,55,149500
2.8,4,Engineering,56,58201
3.2,14,Engineering,57,43365
3.6,19,Sales,58,118893
3.8,8,Marketing,59,56108
4.8,7,Engineering,60,109550
2.6,7,Sales,61,76630
4.3,15,Engineering,62,131654
4.2,19,HR,63,138492
2.1,10,Marketing,64,146830
4.9,6,HR,65,72576
3.8,2,Marketing,66,88290
2.9,3,Sales,67,99233
5,3,Marketing,68,121048
3.4,4,Marketing,69,129939
2.9,7,Sales,70,126360
2.1,11,Marketing,71,102285
3.8,18,Engineering,72,107490
4.9,0,Finance,73,94149
2.2,8,Sales,74,126537
4.5,5,Finance,75,64633
3.3,12,Sales,76,40410
3.4,11,Sales,77,123633
4.7,5,HR,78,146511
3.7,14,HR,79,82229
4.8,8,Marketing,80,42179
4.5,4,Finance,81,123070
2.7,17,Sales,82,87212
2.8,13,Marketing,83,45997
4.7,12,Engineering,84,145848
4.6,5,Sales,85,136444
4.5,11,Engineering,86,82667
4,3,Marketing,87,128857
3.7,1,HR,88,98236
3.2,16,Marketing,89,70612
2,11,Engineering,90,119529
2.7,15,Sales,91,103509
2.7,7,Finance,92,92450
4.5,16,Marketing,93,136889
2.7,6,Sales,94,120293
2,17,HR,95,144065
2.1,11,HR,96,50665
2.2,11,HR,97,85656
4.4,9,Sales,98,96087
3.6,10,Marketing,99,102406
4.7,2,Sales,100,126289
4.8,8,Sales,101,131684
2,20,Finance,102,53166
4.6,13,Finance,103,136243
4.2,1,Marketing,104,90444
4.3,19,Finance,105,78517
4.4,20,HR,106,119583
4.3,2,Finance,107,65569
4,18,HR,108,133315
3.5,7,Marketing,109,58764
3.7,10,Sales,110,108164
3.6,3,Sales,111,114959
3.7,2,Finance,112,142873
4.3,15,HR,113,133934
4.6,9,Engineering,114,106143
4.8,11,Engineering,115,44160
3.2,11,Engineering,116,56759
4.2,10,Sales,117,105264
2.5,7,Sales,118,144440
4,14,HR,119,51415
2,1,Finance,120,79498
3.3,13,Engineering,121,149098
3,4,HR,122,128219
2.7,15,HR,123,111925
3.4,5,Finance,124,101184
2.3,17,HR,125,62027
4.8,3,Finance,126,98495
4.2,13,Marketing,127,55162
2.5,14,Finance,128,103198
2.9,6,Engineering,129,126853
2.8,7,Engineering,130,110866
2.5,14,Finance,131,71575
3.3,8,Marketing,132,71897
4.2,12,Marketing,133,67740
3.1,3,Engineering,134,62338
4.3,4,Marketing,135,138730
2.9,2,HR,136,126474
5,10,Sales,137,131738
4.1,15,HR,138,51722
3.9,11,Engineering,139,53824
2.2,13,Marketing,140,97002
2.5,5,Finance,141,133816
2.4,13,Sales,142,43830
4.8,8,Finance,143,61002
4.9,3,Engineering,144,82795
2.2,5,Marketing,145,90264
4.3,13,Finance,146,140441
4.3,0,Finance,147,76747
2.8,16,Sales,148,68885
2.5,8,Sales,149,134263
4.3,16,Marketing,150,73767
3,3,Sales,151,127285
3.5,16,Finance,152,102429
4.5,20,Finance,153,127897
3.6,14,Engineering,154,56134
3.5,12,Finance,155,127225
3.4,5,Marketing,156,57793
3.8,0,HR,157,110063
4.4,18,Engineering,158,123040
3.1,19,Engineering,159,135081
2.3,1,Marketing,160,104482
2.5,13,Marketing,161,51854
4.4,18,Sales,162,144273
3.6,7,Engineering,163,130673
2.8,2,Sales,164,83620
2.1,19,Finance,165,69334
4.7,13,Engineering,166,115493
4.4,7,Engineering,167,140445
4.4,0,HR,168,118732
2.3,7,Engineering,169,48476
2.2,19,Finance,170,124408
2.4,19,Sales,171,84987
2.5,10,Sales,172,89415
4.4,2,HR,173,134036
3.6,13,Finance,174,137382
3.4,15,Sales,175,136469
4.8,1,Marketing,176,135030
3.9,9,Finance,177,90023
2.1,10,Finance,178,125710
4.6,1,HR,179,124161
4.4,10,Sales,180,142902
3.3,19,Finance,181,113649
4.4,18,Sales,182,97273
4.3,17,Marketing,183,145964
3.2,4,HR,184,70587
2.5,4,Marketing,185,69301
3.9,13,HR,186,73959
3.5,14,Finance,187,55163
3.8,7,HR,188,78138
4.1,3,Engineering,189,51492
4.9,5,Sales,190,54599
4.2,6,Sales,191,51683
