doc,edge_id,enhanced_signature,is_property,method_full_name,name,object_type,parameter_types,parameters_count,relationship,requires_parameters,return_type,return_type_source,signature,source,source_object,source_type,target
compressed_text,487,"(column)",false,"BaseTable.std","std","BaseTable","{}",1,"BaseTable -> Standard","[""column""]","Standard","docstring","(column)",2,"BaseTable","BaseTable",34
"Get neighborhood sampling - delegates to PyGraphAnalysis helper",62,"(center_nodes, radius, max_nodes)",false,"Graph.neighborhood","neighborhood","Graph","{}",3,"Graph -> GraphAnalysis","[""center_nodes""]","GraphAnalysis","docstring","(center_nodes, radius=None, max_nodes=None)",14,"Graph","Graph",15
compressed_text,112,"(attr_names)",false,"EdgesAccessor.group_by","group_by","EdgesAccessor","{}",1,"EdgesAccessor -> SubgraphArray","[""attr_names""]","SubgraphArray","test_execution","(attr_names)",10,"EdgesAccessor","EdgesAccessor",37
"Get last n rows (default 5)",488,"(n)",false,"BaseTable.tail","tail","BaseTable","{}",1,"BaseTable -> BaseTable","[]","BaseTable","test_execution","(n=5)",2,"BaseTable","BaseTable",2
"Check whether the table contains any rows",151,"()",false,"NodesTable.is_empty","is_empty","NodesTable","{}",0,"NodesTable -> bool","[]","bool","test_execution","()",27,"NodesTable","NodesTable",47
"Apply table() to each NodesAccessor and return TableArray",214,"()",false,"NodesArray.table","table","NodesArray","{}",0,"NodesArray -> TableArray","[]","TableArray","test_execution","()",25,"NodesArray","NodesArray",39
"Elementwise multiplication (Hadamard product)
Returns: new GraphMatrix with elementwise product",323,"(other)",false,"GraphMatrix.elementwise_multiply","elementwise_multiply","GraphMatrix","{}",1,"GraphMatrix -> GraphMatrix","[""other""]","GraphMatrix","docstring","(other)",18,"GraphMatrix","GraphMatrix",18
compressed_text,575,"()",false,"EdgeId.as_integer_ratio","as_integer_ratio","EdgeId","{}",0,"EdgeId -> tuple","[]","tuple","test_execution","()",9,"EdgeId","EdgeId",55
compressed_text,149,"(port, layout, theme, width, height)",false,"NodesTable.interactive_viz","interactive_viz","NodesTable","{}",5,"NodesTable -> VizAccessor","[]","VizAccessor","test_execution","(port=None, layout=None, theme=None, width=None, height=None)",27,"NodesTable","NodesTable",46
compressed_text,480,"(row, column_name, value)",false,"BaseTable.set_value","set_value","BaseTable","{}",3,"BaseTable -> Unknown","[""row"", ""column_name"", ""value""]","Unknown","unknown","(row, column_name, value)",2,"BaseTable","BaseTable",43
compressed_text,523,"(suffix)",false,"AttrName.removesuffix","removesuffix","AttrName","{}",1,"AttrName -> str","[""suffix""]","str","docstring","(suffix, /)",0,"AttrName","AttrName",54
"Create subgraph from list of edges.",85,"(edges)",false,"Graph.subgraph_from_edges","subgraph_from_edges","Graph","{}",1,"Graph -> list","[""edges""]","list","docstring","(edges)",14,"Graph","Graph",52
compressed_text,467,"(index, columns, values, aggfunc)",false,"BaseTable.pivot_table","pivot_table","BaseTable","{}",4,"BaseTable -> Reshaped","[""index"", ""columns"", ""values"", ""aggfunc""]","Reshaped","docstring","(index, columns, values, aggfunc)",2,"BaseTable","BaseTable",33
"Auto-assign edge IDs for null values (useful for meta nodes)",170,"()",false,"EdgesTable.auto_assign_edge_ids","auto_assign_edge_ids","EdgesTable","{}",0,"EdgesTable -> EdgesTable","[]","EdgesTable","test_execution","()",12,"EdgesTable","EdgesTable",12
compressed_text,514,"()",false,"AttrName.isspace","isspace","AttrName","{}",0,"AttrName -> bool","[]","bool","test_execution","()",0,"AttrName","AttrName",47
"Get attribute value history for a node within a commit range.",66,"(node_id, attr, from_commit, to_commit)",false,"Graph.node_attr_history","node_attr_history","Graph","{}",4,"Graph -> Commit","[""node_id"", ""attr"", ""from_commit"", ""to_commit""]","Commit","docstring","(node_id, attr, from_commit, to_commit)",14,"Graph","Graph",5
compressed_text,136,"(bundle_path)",false,"GraphTable.verify_bundle","verify_bundle","GraphTable","{}",1,"GraphTable -> dict","[""bundle_path""]","dict","docstring","(bundle_path)",19,"GraphTable","GraphTable",49
compressed_text,585,"(bytes, byteorder, signed)",false,"StateId.from_bytes","from_bytes","StateId","{}",3,"StateId -> list","[""bytes"", ""byteorder""]","list","docstring","(bytes, byteorder, *, signed=False)",35,"StateId","StateId",52
"Create an EdgesArray for delegation chains
Implements: g.edges.array()",109,"()",false,"EdgesAccessor.array","array","EdgesAccessor","{}",0,"EdgesAccessor -> EdgesArray","[]","EdgesArray","test_execution","()",10,"EdgesAccessor","EdgesAccessor",11
compressed_text,584,"()",false,"StateId.bit_length","bit_length","StateId","{}",0,"StateId -> int","[]","int","test_execution","()",35,"StateId","StateId",51
compressed_text,115,"(attrs_dict)",false,"EdgesAccessor.set_attrs","set_attrs","EdgesAccessor","{}",1,"EdgesAccessor -> Graph","[""attrs_dict""]","Graph","docstring","(attrs_dict)",10,"EdgesAccessor","EdgesAccessor",14
"Get number of total rows (nodes + edges)",126,"()",false,"GraphTable.nrows","nrows","GraphTable","{}",0,"GraphTable -> int","[]","int","test_execution","()",19,"GraphTable","GraphTable",51
"Get Laplacian matrix - delegates to PyGraphMatrixHelper",59,"(normalized)",false,"Graph.laplacian_matrix","laplacian_matrix","Graph","{}",1,"Graph -> GraphMatrix","[]","GraphMatrix","test_execution","(normalized=None)",14,"Graph","Graph",18
"Explicit row iterator matching the Python iteration protocol.",188,"()",false,"EdgesTable.iter","iter","EdgesTable","{}",0,"EdgesTable -> EdgesTableRowIterator","[]","EdgesTableRowIterator","test_execution","()",12,"EdgesTable","EdgesTable",13
"Return the entity type string",275,"()",false,"Subgraph.entity_type","entity_type","Subgraph","{}",0,"Subgraph -> str","[]","str","test_execution","()",36,"Subgraph","Subgraph",54
"Get preview of matrix for display (first N rows/cols by default)",359,"(row_limit, col_limit)",false,"GraphMatrix.preview","preview","GraphMatrix","{}",2,"GraphMatrix -> list","[]","list","test_execution","(row_limit=None, col_limit=None)",18,"GraphMatrix","GraphMatrix",52
compressed_text,581,"(bytes, byteorder, signed)",false,"NodeId.from_bytes","from_bytes","NodeId","{}",3,"NodeId -> list","[""bytes"", ""byteorder""]","list","docstring","(bytes, byteorder, *, signed=False)",23,"NodeId","NodeId",52
"Global mean of all elements in the matrix  ",349,"()",false,"GraphMatrix.mean","mean","GraphMatrix","{}",0,"GraphMatrix -> float","[]","float","test_execution","()",18,"GraphMatrix","GraphMatrix",50
compressed_text,576,"()",false,"EdgeId.bit_length","bit_length","EdgeId","{}",0,"EdgeId -> int","[]","int","test_execution","()",9,"EdgeId","EdgeId",51
compressed_text,415,"(column_name)",false,"BaseTable.column","column","BaseTable","{}",1,"BaseTable -> BaseArray","[""column_name""]","BaseArray","test_execution","(column_name)",2,"BaseTable","BaseTable",1
compressed_text,567,"(keepends)",false,"BranchName.splitlines","splitlines","BranchName","{}",1,"BranchName -> list","[]","list","test_execution","(keepends=False)",4,"BranchName","BranchName",52
compressed_text,307,"()",false,"Subgraph.to_edges","to_edges","Subgraph","{}",0,"Subgraph -> EdgesAccessor","[]","EdgesAccessor","test_execution","()",36,"Subgraph","Subgraph",10
"",3,"(node_id, kwargs)",false,"Graph.add_node","add_node","Graph","{}",2,"Graph -> Unknown","[""kwargs""]","Unknown","unknown","(node_id=None, **kwargs)",14,"Graph","Graph",43
compressed_text,99,"()",false,"NodesAccessor.array","array","NodesAccessor","{}",0,"NodesAccessor -> NodesArray","[]","NodesArray","test_execution","()",24,"NodesAccessor","NodesAccessor",25
