category,class_name,description,docstring,entity_type,methods_count,module,node_id,type_name
"inferred",,"",,"base",0,,34,"Standard"
"core","NodesTable","","Python wrapper for NodesTable","base",0,"groggy",27,"NodesTable"
"core","EdgesAccessor","","Wrapper for g.edges that supports indexing syntax: g.edges[id] -> EdgeView  ","base",0,"builtins",10,"EdgesAccessor"
"inferred",,"",,"base",0,,32,"Object"
"core","str","",compressed_text,"base",0,"builtins",4,"BranchName"
"core","TableArray","","Specialized array for table objects (PyObject wrapper for tables)","base",0,"builtins",39,"TableArray"
"inferred",,"",,"base",0,,16,"GraphAttr"
"inferred",,"",,"base",0,,22,"MetaNode"
"inferred",,"",,"base",0,,40,"TableArrayIterator"
"inferred",,"",,"base",0,,47,"bool"
"inferred",,"",,"base",0,,42,"Transformed"
"inferred",,"",,"base",0,,29,"NodesTableRowIterator"
"inferred",,"",,"base",0,,50,"float"
"inferred",,"",,"base",0,,51,"int"
"inferred",,"",,"base",0,,54,"str"
"core","BaseTable","","Python wrapper for BaseTable","base",0,"groggy",2,"BaseTable"
"core","DisplayConfig","","Python wrapper for DisplayConfig","base",0,"groggy.display",8,"DisplayConfig"
"inferred",,"",,"base",0,,11,"EdgesArray"
"inferred",,"",,"base",0,,26,"NodesArrayIterator"
"inferred",,"",,"base",0,,52,"list"
"inferred",,"",,"base",0,,1,"BaseArray"
"inferred",,"",,"base",0,,38,"Table"
"inferred",,"",,"base",0,,17,"GraphAttrMut"
"inferred",,"",,"base",0,,20,"Matrix"
"core","SubgraphArray","",compressed_text,"base",0,"builtins",37,"SubgraphArray"
"core","int","",compressed_text,"base",0,"builtins",23,"NodeId"
"inferred",,"",,"base",0,,33,"Reshaped"
"inferred",,"",,"base",0,,53,"ndarray"
"inferred",,"",,"base",0,,55,"tuple"
"core","ComponentsArray","","Lazy array of connected components - avoids creating hundreds of PySubgraphs immediately","base",0,"builtins",6,"ComponentsArray"
"core","GraphTable","","Python wrapper for GraphTable","base",0,"groggy",19,"GraphTable"
"inferred",,"",,"base",0,,49,"dict"
"core","int","",compressed_text,"base",0,"builtins",35,"StateId"
"core","Subgraph","",compressed_text,"base",0,"builtins",36,"Subgraph"
"core","NumArray","","Unified statistical array supporting all numeric types internally","base",0,"builtins",31,"NumArray"
"inferred",,"",,"base",0,,7,"DataFrame"
"core","NodesArray","",compressed_text,"base",0,"builtins",25,"NodesArray"
"inferred",,"",,"base",0,,30,"NoneType"
"inferred",,"",,"base",0,,41,"TemporalIndex"
"core","GraphMatrix","","Python wrapper for GraphMatrix - general-purpose matrix for collections of GraphArrays","base",0,"builtins",18,"GraphMatrix"
"inferred",,"",,"base",0,,15,"GraphAnalysis"
"core","NodesAccessor","","Wrapper for g.nodes that supports indexing syntax: g.nodes[id] -> NodeView","base",0,"builtins",24,"NodesAccessor"
"inferred",,"",,"base",0,,45,"Variance"
"inferred",,"",,"base",0,,3,"BaseTableRowIterator"
"inferred",,"",,"base",0,,5,"Commit"
"core","EdgesTable","","Python wrapper for EdgesTable","base",0,"groggy",12,"EdgesTable"
"core","int","",compressed_text,"base",0,"builtins",9,"EdgeId"
"core","str","",compressed_text,"base",0,"builtins",0,"AttrName"
"inferred",,"",,"base",0,,46,"VizAccessor"
"core","Graph","","Python wrapper for the main Graph","base",0,"builtins",14,"Graph"
"inferred",,"",,"base",0,,43,"Unknown"
"inferred",,"",,"base",0,,44,"Unpivoted"
"inferred",,"",,"base",0,,48,"bytes"
"inferred",,"",,"base",0,,13,"EdgesTableRowIterator"
"inferred",,"",,"base",0,,21,"Median"
"inferred",,"",,"base",0,,28,"NodesTableArray"
