doc,edge_id,enhanced_signature,is_property,method_full_name,name,object_type,parameter_types,parameters_count,relationship,requires_parameters,return_type,signature,source,source_object,source_type,target
compressed_text,485,"(repeats, axis)",false,"GraphMatrix.repeat","repeat","GraphMatrix","{}",2,"GraphMatrix -> float","[""repeats"", ""axis""]","float","(repeats, axis)",40,"GraphMatrix","GraphMatrix",2
compressed_text,211,"(old, new, count=-1)",false,"BranchName.replace","replace","BranchName","{}",3,"BranchName -> float","[""old"", ""new""]","float","(old, new, count=-1, /)",16,"BranchName","BranchName",2
"Check if there are uncommitted changes (FFI wrapper around core history system)",34,"()",false,"Graph.has_uncommitted_changes","has_uncommitted_changes","Graph","{}",0,"Graph -> Unknown","[]","Unknown","()",37,"Graph","Graph",0
"Get a NodesTable representation of accessible nodes  
Implements: g.nodes.table()",244,"()",false,"NodesAccessor.table","table","NodesAccessor","{}",0,"NodesAccessor -> NodesTable","[]","NodesTable","()",20,"NodesAccessor","NodesAccessor",28
"Element-wise exponential (e^x)",448,"()",false,"GraphMatrix.exp","exp","GraphMatrix","{}",0,"GraphMatrix -> Unknown","[]","Unknown","()",40,"GraphMatrix","GraphMatrix",0
"Create federated GraphTable from multiple bundle paths",253,"(bundle_paths, domain_names=None)",false,"GraphTable.from_federated_bundles","from_federated_bundles","GraphTable","{}",2,"GraphTable -> GraphTable","[""bundle_paths""]","GraphTable","(bundle_paths, domain_names=None)",35,"GraphTable","GraphTable",35
compressed_text,389,"(agg_functions, defaults=None)",false,"Subgraph.collapse_to_node_with_defaults","collapse_to_node_with_defaults","Subgraph","{}",2,"Subgraph -> dict","[""agg_functions""]","dict","(agg_functions, defaults=None)",19,"Subgraph","Subgraph",5
compressed_text,380,"()",false,"Subgraph.adj","adj","Subgraph","{}",0,"Subgraph -> Matrix","[]","Matrix","()",19,"Subgraph","Subgraph",38
compressed_text,161,"(expr)",false,"BaseTable.query","query","BaseTable","{}",1,"BaseTable -> str","[""expr""]","str","(expr)",34,"BaseTable","BaseTable",11
compressed_text,159,"(column, q, interpolation=None)",false,"BaseTable.quantile","quantile","BaseTable","{}",3,"BaseTable -> list","[""column"", ""q""]","list","(column, q, interpolation=None)",34,"BaseTable","BaseTable",22
compressed_text,121,"(column, operation)",false,"BaseTable.expanding","expanding","BaseTable","{}",2,"BaseTable -> BaseArray","[""column"", ""operation""]","BaseArray","(column, operation)",34,"BaseTable","BaseTable",26
compressed_text,274,"(predicate)",false,"NodesTable.filter","filter","NodesTable","{}",1,"NodesTable -> str","[""predicate""]","str","(predicate)",28,"NodesTable","NodesTable",11
compressed_text,450,"()",false,"GraphMatrix.flatten","flatten","GraphMatrix","{}",0,"GraphMatrix -> NumArray","[]","NumArray","()",40,"GraphMatrix","GraphMatrix",27
"Get graph statistics  ",264,"()",false,"GraphTable.stats","stats","GraphTable","{}",0,"GraphTable -> Graph","[]","Graph","()",35,"GraphTable","GraphTable",37
"Aggregate attribute values across nodes or edges",5,"(attribute, operation, target=None, _node_ids=None)",false,"Graph.aggregate","aggregate","Graph","{}",4,"Graph -> Unknown","[""attribute"", ""operation""]","Unknown","(attribute, operation, target=None, _node_ids=None)",37,"Graph","Graph",0
compressed_text,226,"()",false,"EdgeId.bit_length","bit_length","EdgeId","{}",0,"EdgeId -> float","[]","float","()",12,"EdgeId","EdgeId",2
"Filter edges by attribute value",309,"(attr_name, value)",false,"EdgesTable.filter_by_attr","filter_by_attr","EdgesTable","{}",2,"EdgesTable -> Unknown","[""attr_name"", ""value""]","Unknown","(attr_name, value)",21,"EdgesTable","EdgesTable",0
compressed_text,452,"(data)",false,"GraphMatrix.from_data","from_data","GraphMatrix","{}",1,"GraphMatrix -> Matrix","[""data""]","Matrix","(data)",40,"GraphMatrix","GraphMatrix",38
compressed_text,245,"()",false,"EdgesAccessor.all","all","EdgesAccessor","{}",0,"EdgesAccessor -> Subgraph","[]","Subgraph","()",17,"EdgesAccessor","EdgesAccessor",19
compressed_text,254,"(bundle_path)",false,"GraphTable.get_bundle_info","get_bundle_info","GraphTable","{}",1,"GraphTable -> dict","[""bundle_path""]","dict","(bundle_path)",35,"GraphTable","GraphTable",5
"Get commit history (FFI wrapper around core history system)",12,"()",false,"Graph.commit_history","commit_history","Graph","{}",0,"Graph -> Commit","[]","Commit","()",37,"Graph","Graph",18
"Import NodesTable from CSV file (must contain node_id column)",276,"(path)",false,"NodesTable.from_csv","from_csv","NodesTable","{}",1,"NodesTable -> NodesTable","[""path""]","NodesTable","(path)",28,"NodesTable","NodesTable",28
"Check if subgraph contains a specific edge (alias for has_edge)  ",391,"(edge_id)",false,"Subgraph.contains_edge","contains_edge","Subgraph","{}",1,"Subgraph -> Subgraph","[""edge_id""]","Subgraph","(edge_id)",19,"Subgraph","Subgraph",19
"Get edge endpoints (source, target)",397,"(edge_id)",false,"Subgraph.edge_endpoints","edge_endpoints","Subgraph","{}",1,"Subgraph -> Unknown","[""edge_id""]","Unknown","(edge_id)",19,"Subgraph","Subgraph",0
"Convert matrix to BaseArray containing all values as AttrValues",504,"()",false,"GraphMatrix.to_base_array","to_base_array","GraphMatrix","{}",0,"GraphMatrix -> BaseArray","[]","BaseArray","()",40,"GraphMatrix","GraphMatrix",26
"Get neighborhood sampling - delegates to PyGraphAnalysis helper",38,"(center_nodes, radius=None, max_nodes=None)",false,"Graph.neighborhood","neighborhood","Graph","{}",3,"Graph -> GraphAnalysis","[""center_nodes""]","GraphAnalysis","(center_nodes, radius=None, max_nodes=None)",37,"Graph","Graph",32
"Apply sample(k) to all subgraphs",371,"(k)",false,"SubgraphArray.sample","sample","SubgraphArray","{}",1,"SubgraphArray -> Unknown","[""k""]","Unknown","(k)",14,"SubgraphArray","SubgraphArray",0
